id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,token drift,50,8,32,81,93,hold,baseline,monotonic-signal
g002,grammar width,47,13,21,102,146,watch,edge,drag-penalty
g003,label quality,49,18,38,62,64,hold,recovery,confidence-floor
g004,error locality,53,58,6,59,205,ship,negative,lane-boundary
g005,token drift,59,45,33,105,169,ship,baseline,monotonic-signal
g006,grammar width,65,76,27,89,214,ship,edge,drag-penalty
g007,label quality,116,24,5,43,284,ship,recovery,confidence-floor
g008,error locality,101,71,16,67,292,ship,negative,lane-boundary
g009,token drift,53,62,23,84,183,ship,baseline,monotonic-signal
g010,grammar width,32,60,28,97,137,watch,edge,drag-penalty
g011,label quality,69,61,11,65,231,ship,recovery,confidence-floor
g012,error locality,91,29,4,96,295,ship,negative,lane-boundary
g013,token drift,62,51,18,73,194,ship,baseline,monotonic-signal
g014,grammar width,95,64,11,23,244,ship,edge,drag-penalty
g015,label quality,115,73,9,46,322,ship,recovery,confidence-floor
g016,error locality,84,10,9,105,256,ship,negative,lane-boundary
g017,token drift,116,51,11,53,303,ship,baseline,monotonic-signal
g018,grammar width,92,74,13,74,293,ship,edge,drag-penalty
g019,label quality,83,53,16,46,217,ship,recovery,confidence-floor
g020,error locality,82,10,19,80,197,ship,negative,lane-boundary
g021,token drift,41,61,43,101,115,watch,baseline,monotonic-signal
g022,grammar width,112,19,14,61,262,ship,edge,drag-penalty
g023,label quality,63,71,43,58,126,watch,recovery,confidence-floor
g024,error locality,86,64,17,104,289,ship,negative,lane-boundary
g025,token drift,57,8,6,88,192,ship,baseline,monotonic-signal
g026,grammar width,90,73,23,42,226,ship,edge,drag-penalty
g027,label quality,66,73,33,66,172,ship,recovery,confidence-floor
g028,error locality,102,75,18,83,308,ship,negative,lane-boundary
g029,token drift,35,9,12,96,139,watch,baseline,monotonic-signal
g030,grammar width,49,13,32,64,79,hold,edge,drag-penalty
g031,label quality,60,18,43,95,104,watch,recovery,confidence-floor
g032,error locality,91,23,8,72,253,ship,negative,lane-boundary
g033,token drift,88,63,13,22,222,ship,baseline,monotonic-signal
g034,grammar width,90,50,38,45,161,ship,edge,drag-penalty
g035,label quality,94,11,31,104,210,ship,recovery,confidence-floor
g036,error locality,100,29,45,52,146,watch,negative,lane-boundary
g037,token drift,106,76,38,73,247,ship,baseline,monotonic-signal
g038,grammar width,69,67,36,45,142,watch,edge,drag-penalty
g039,label quality,54,65,36,79,144,watch,recovery,confidence-floor
g040,error locality,94,66,38,100,240,ship,negative,lane-boundary
g041,token drift,73,34,40,60,120,watch,baseline,monotonic-signal
g042,grammar width,110,56,43,57,204,ship,edge,drag-penalty
g043,label quality,44,69,4,103,248,ship,recovery,confidence-floor
g044,error locality,103,8,28,87,217,ship,negative,lane-boundary
g045,token drift,48,15,41,41,29,hold,baseline,monotonic-signal
g046,grammar width,68,56,28,65,173,ship,edge,drag-penalty
g047,label quality,37,9,44,82,33,hold,recovery,confidence-floor
g048,error locality,69,58,33,95,192,ship,negative,lane-boundary
g049,token drift,45,15,8,63,144,watch,baseline,monotonic-signal
g050,grammar width,36,66,18,94,178,ship,edge,drag-penalty
g051,label quality,35,24,45,71,30,hold,recovery,confidence-floor
g052,error locality,82,76,39,21,144,watch,negative,lane-boundary
g053,token drift,65,69,17,44,192,ship,baseline,monotonic-signal
g054,grammar width,104,13,28,103,240,ship,edge,drag-penalty
g055,label quality,39,8,35,51,32,hold,recovery,confidence-floor
g056,error locality,98,8,40,72,156,ship,negative,lane-boundary
g057,token drift,43,10,23,44,71,hold,baseline,monotonic-signal
g058,grammar width,107,14,16,78,258,ship,edge,drag-penalty
g059,label quality,55,18,30,99,137,watch,recovery,confidence-floor
g060,error locality,76,23,23,59,165,ship,negative,lane-boundary
g061,token drift,90,28,21,56,201,ship,baseline,monotonic-signal
g062,grammar width,101,68,21,102,309,ship,edge,drag-penalty
g063,label quality,44,55,23,86,160,ship,recovery,confidence-floor
g064,error locality,41,16,25,40,63,hold,negative,lane-boundary
g065,token drift,43,34,28,64,100,watch,baseline,monotonic-signal
g066,grammar width,47,11,31,81,93,hold,edge,drag-penalty
g067,label quality,53,72,13,94,233,ship,recovery,confidence-floor
g068,error locality,59,70,26,62,172,ship,negative,lane-boundary
g069,token drift,110,71,13,93,345,ship,baseline,monotonic-signal
g070,grammar width,95,39,29,70,212,ship,edge,drag-penalty
g071,label quality,47,61,18,20,121,watch,recovery,confidence-floor
g072,error locality,114,74,35,43,240,ship,negative,lane-boundary
g073,token drift,63,13,45,102,106,watch,baseline,monotonic-signal
g074,grammar width,85,20,30,50,150,watch,edge,drag-penalty
g075,label quality,56,61,24,71,172,ship,recovery,confidence-floor
g076,error locality,89,14,44,43,103,watch,negative,lane-boundary
g077,token drift,109,63,13,77,319,ship,baseline,monotonic-signal
g078,grammar width,78,20,20,98,214,ship,edge,drag-penalty
g079,label quality,110,71,25,58,274,ship,recovery,confidence-floor
g080,error locality,86,29,8,55,232,ship,negative,lane-boundary
g081,token drift,77,11,43,101,137,watch,baseline,monotonic-signal
g082,grammar width,76,74,15,85,266,ship,edge,drag-penalty
g083,label quality,35,18,8,39,103,watch,recovery,confidence-floor
g084,error locality,106,13,6,63,270,ship,negative,lane-boundary
g085,token drift,57,13,6,80,189,ship,baseline,monotonic-signal
g086,grammar width,80,15,8,93,244,ship,edge,drag-penalty
g087,label quality,51,19,10,61,152,ship,recovery,confidence-floor
g088,error locality,84,23,13,92,244,ship,negative,lane-boundary
g089,token drift,60,28,16,69,169,ship,baseline,monotonic-signal
g090,grammar width,96,33,40,105,210,ship,edge,drag-penalty
g091,label quality,117,73,11,42,316,ship,recovery,confidence-floor
g092,error locality,43,60,40,101,127,watch,negative,lane-boundary
g093,token drift,54,21,14,49,136,watch,baseline,monotonic-signal
g094,grammar width,85,39,45,70,144,watch,edge,drag-penalty
g095,label quality,82,16,20,42,162,ship,recovery,confidence-floor
g096,error locality,84,77,30,76,231,ship,negative,lane-boundary
